"Marca temporal","¿Cuál es tu rango de edad?","¿Cuántos años de experiencia laboral tienes?","¿En qué sector trabajas actualmente?","¿Tu empresa utiliza actualmente herramientas de inteligencia artificial en alguno de sus procesos?","Si la respuesta anterior es ""Sí"": ¿en qué áreas se utiliza?","¿Tu empresa ha ofrecido formación relacionada con IA a los empleados?","¿Utilizas tú personalmente alguna herramienta de IA en tu trabajo diario?","Si la respuesta anterior es ""Sí"": ¿ha cambiado tu carga de trabajo o el tipo de tareas que haces desde que se introdujo la IA en tu empresa?","Si la respuesta anterior es ""Sí"": ¿dirías que la IA ha automatizado tareas que antes hacíais tú o tu equipo?","¿Hasta qué punto te preocupa que la IA pueda sustituir tu puesto en los próximos 5 años?","¿Quieres añadir algún comentario sobre cómo está afectando la IA a tu trabajo o a tu sector?"
"2026/06/20 5:39:29 p. m. EEST","25-34","6-10 años","Marketing / Comunicación","Sí","Producción / operaciones","Sí","Sí, de forma ocasional","Sí, algo","Sí, algunas","3",""
"2026/06/20 5:39:33 p. m. EEST","25-34","Menos de 2 años","Industria / Manufactura","Sí","Análisis de datos","Sí","Sí, habitualmente","Poco","Apenas alguna","1",""
"2026/06/20 5:45:50 p. m. EEST","25-34","2-5 años","Servicios profesionales (legal, consultoría, etc.)","Sí","Desarrollo / programación","Sí","Sí, habitualmente","Sí, mucho","Sí, bastantes","1",""
"2026/06/20 5:54:07 p. m. EEST","25-34","2-5 años","Servicios profesionales (legal, consultoría, etc.)","Sí","Desarrollo / programación","No","No, pero la he probado","Poco","No utilizo IA","1",""
"2026/06/20 5:56:22 p. m. EEST","20-24","Menos de 2 años","Otro","Sí","Desarrollo / programación","Sí","Sí, habitualmente","Sí, algo","Sí, algunas","4",""
"2026/06/20 5:57:54 p. m. EEST","25-34","6-10 años","Tecnología / IT","Sí","Ventas y marketing","No","Sí, habitualmente","Sí, mucho","Sí, bastantes","1",""
"2026/06/20 6:14:31 p. m. EEST","55 o más","Más de 20 años","Educación","Sí","Análisis de datos","Sí","Sí, habitualmente","Poco","Apenas alguna","1",""
"2026/06/20 6:37:42 p. m. EEST","55 o más","Más de 20 años","Comercio / Retail","Sí","Atención al cliente / soporte","No","Sí, de forma ocasional","Sí, algo","Sí, algunas","1",""
"2026/06/20 6:43:56 p. m. EEST","55 o más","Más de 20 años","Educación","Sí","","Sí","No, pero la he probado","","Ninguna","2",""
"2026/06/20 7:22:43 p. m. EEST","20-24","Menos de 2 años","Salud","Sí","Otro","No","Sí, habitualmente","Sí, algo","Apenas alguna","1",""
"2026/06/20 7:24:37 p. m. EEST","55 o más","Más de 20 años","Administración pública","Sí","Gestión administrativa interna","Sí","Sí, habitualmente","Sí, algo","Sí, algunas","1",""
"2026/06/20 7:25:36 p. m. EEST","20-24","Menos de 2 años","Otro","Sí","Ventas y marketing","No","Sí, de forma ocasional","Sí, algo","Sí, algunas","2",""
"2026/06/20 8:30:24 p. m. EEST","20-24","2-5 años","Servicios profesionales (legal, consultoría, etc.)","Sí","Análisis de datos","No","Sí, habitualmente","Poco","Sí, algunas","2","Sobre todo automatiza el análisis y apoya en el entendimiento de grandes documentos de datos. "
"2026/06/20 8:43:49 p. m. EEST","20-24","2-5 años","Marketing / Comunicación","Sí","Ventas y marketing","Sí","Sí, habitualmente","Sí, algo","Apenas alguna","2",""
"2026/06/20 9:30:09 p. m. EEST","25-34","Menos de 2 años","Marketing / Comunicación","No","","No","Sí, habitualmente","Sí, algo","Sí, algunas","1","Me encantaría poder hacer formaciones de IA"
"2026/06/20 10:33:42 p. m. EEST","20-24","2-5 años","Otro","Sí","Análisis de datos","No","Sí, habitualmente","Sí, mucho","Sí, algunas","4",""
"2026/06/20 11:43:54 p. m. EEST","25-34","6-10 años","Tecnología / IT","Sí","Desarrollo / programación","Sí","Sí, habitualmente","Sí, mucho","Sí, bastantes","2",""
"2026/06/21 4:52:22 p. m. EEST","25-34","Menos de 2 años","Salud","Sí","Análisis de datos","No lo sé","Sí, habitualmente","Sí, algo","Sí, algunas","1",""
"2026/06/23 10:34:00 p. m. EEST","20-24","Menos de 2 años","Tecnología / IT","Sí","Desarrollo / programación","Sí","Sí, habitualmente","Sí, mucho","Sí, algunas","4",""
"2026/06/23 10:37:14 p. m. EEST","20-24","Menos de 2 años","Tecnología / IT","Sí","Desarrollo / programación","No","Sí, habitualmente","Sí, algo","Sí, algunas","5",""
"2026/06/23 10:48:54 p. m. EEST","20-24","Menos de 2 años","Tecnología / IT","Sí","Desarrollo / programación","Sí","Sí, habitualmente","Sí, algo","Sí, algunas","2",""
"2026/06/23 10:49:41 p. m. EEST","20-24","Menos de 2 años","Tecnología / IT","Sí","Desarrollo / programación","Sí","Sí, de forma ocasional","Sí, algo","Sí, algunas","1",""
"2026/06/23 10:54:59 p. m. EEST","20-24","2-5 años","Tecnología / IT","Sí","Desarrollo / programación","Sí","Sí, habitualmente","Sí, algo","Sí, algunas","1",""
"2026/06/24 12:02:45 a. m. EEST","25-34","Menos de 2 años","Tecnología / IT","Sí","Desarrollo / programación","No","Sí, habitualmente","Sí, algo","Sí, bastantes","4","En el corto-medio plazo es una herramienta que aumentará la producción y hará disminuir la contratación."
"2026/06/24 12:06:51 a. m. EEST","25-34","6-10 años","Otro","No","","No","No, nunca","","No utilizo IA","1",""
"2026/06/24 12:14:49 a. m. EEST","45-54","Más de 20 años","Tecnología / IT","Sí","Otro","Sí","Sí, de forma ocasional","Sí, algo","Sí, algunas","3","tras 22 años picando código, la IA nos quita el trabajo aburrido. Ahora automatizo el soporte y la depuración; vigilo sesgos y diseño más que programo."
"2026/06/24 1:02:24 a. m. EEST","20-24","Menos de 2 años","Salud","Sí","Desarrollo / programación","Sí","Sí, de forma ocasional","Sí, mucho","Sí, algunas","3",""
"2026/06/24 11:12:32 a. m. EEST","25-34","Menos de 2 años","Tecnología / IT","Sí","Análisis de datos","No","Sí, habitualmente","Sí, mucho","Sí, bastantes","1",""
"2026/06/24 3:16:21 p. m. EEST","20-24","Menos de 2 años","Finanzas / Banca","Sí","Desarrollo / programación","Sí","Sí, habitualmente","Sí, algo","Sí, algunas","2",""
"2026/06/25 7:15:28 p. m. EEST","20-24","Menos de 2 años","Tecnología / IT","Sí","Desarrollo / programación","No","Sí, de forma ocasional","Sí, algo","Sí, algunas","4",""